Evolución mensual de la producción de los principales productos textiles en la Provincia de Tierra del Fuego AeIAS;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Período ;; Principales productos de la IndustriaTextil;;;;;;;;;;;;;;;;;;;;;;;;
;; Total; Floca; Hilado; Tejido;Tela Recubierta;Top;;Total;Tejido;Tela Recubierta;;;;;;;;;;;;;;;
;; Kilos;;;;;;;;metro lineal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ago;1.396.293;3.651;353.738;565.430;74.550;398.924;;683.220;-;683.220;;;;;;;;;;;;;;;
;Sep;1.517.379;948;369.935;732.102;32.707;381.688;;155.505;-;155.505;;;;;;;;;;;;;;;
;Oct;1.565.720;21.019;323.438;782.611;18.943;419.709;;812.048;-;812.048;;;;;;;;;;;;;;;
;Nov;1.590.248;1.590;327.460;770.480;18.328;472.391;;1.027.541;-;1.027.541;;;;;;;;;;;;;;;
;Dic;1.226.051;8.749;221.105;678.165;70.127;247.905;;1.043.993;-;1.043.993;;;;;;;;;;;;;;;
2022;Ene ;1.076.128;12.509;209.483;644.726;65.703;143.708;;959.355;-;959.355;;;;;;;;;;;;;;;
;Feb ;1.524.745;6.655;363.736;761.991;34.983;357.380;;1.150.436;21.968;1.128.468;;;;;;;;;;;;;;;
;Mar ;2.152.929;26.757;387.648;1.328.711;32.583;377.230;;1.249.191;90.292;1.158.899;;;;;;;;;;;;;;;
;Apr ;2.263.563;11.548;403.806;1.457.285;17.570;373.355;;936.504;172.078;764.426;;;;;;;;;;;;;;;
;May ;2.348.273;5.974;412.274;1.538.152;5.840;386.034;;1.306.704;196.162;1.110.542;;;;;;;;;;;;;;;
;Jun ;2.356.549;23.547;418.411;1.446.683;49.107;418.801;;1.292.735;608.712;684.023;;;;;;;;;;;;;;;
;Jul ;2.549.434;8.502;458.884;1.617.558;18.609;445.882;;1.136.688;378.138;758.549;;;;;;;;;;;;;;;
;Ago ;2.308.382;25.176;374.741;1.507.155;20.192;381.119;;1.407.497;459.687;947.810;;;;;;;;;;;;;;;
;Sep ;2.042.109;28.934;337.847;1.275.193;48.721;351.415;;1.109.205;558.421;550.783;;;;;;;;;;;;;;;
;Oct ;1.845.890;1.630;279.737;1.247.287;14.220;303.017;;828.617;397.544;431.074;;;;;;;;;;;;;;;
;Nov ;2.005.968;29.653;290.821;1.259.719;84.273;341.504;;992.297;305.426;686.872;;;;;;;;;;;;;;;
;Dic ;964.152;5.619;167.006;672.326;42.080;77.121;;812.562;44.226;768.336;;;;;;;;;;;;;;;
2023;Ene ;1.385.219;7.661;171.422;1.078.589;22.587;104.961;;1.239.344;323.258;916.086;;;;;;;;;;;;;;;
;Feb ;1.755.969;4.481;294.239;1.150.613;65.953;240.684;;1.137.943;370.543;767.400;;;;;;;;;;;;;;;
;Mar ;1.882.010;1.696;333.783;1.189.722;33.715;323.095;;1.549.332;757.690;791.642;;;;;;;;;;;;;;;
;Apr ;1.182.921;2.706;223.104;754.784;14.925;187.403;;755.535;252.127;503.408;;;;;;;;;;;;;;;
;May ;1.393.146;2.453;231.555;985.915;33.048;140.175;;984.504;226.232;758.272;;;;;;;;;;;;;;;
;Jun ;1.353.884;-;205.626;1.003.605;31.810;112.844;;979.953;304.729;675.224;;;;;;;;;;;;;;;
;Jul ;1.242.206;-;269.469;932.828;-;39.909;;256.874;255.957;917;;;;;;;;;;;;;;;
;Ago ;1.255.704;4.337;224.781;1.026.586;-;-;;819.859;177.644;642.215;;;;;;;;;;;;;;;
;Sep;1.237.881;916;249.132;986.606;-;1.227;;1.170.832;153.529;1.017.303;;;;;;;;;;;;;;;
;Oct;1.000.576;-;252.115;748.461;-;-;;903.278;257.765;645.513;;;;;;;;;;;;;;;
;Nov;824.549;-;159.284;665.166;99;-;;817.591;106.544;711.047;;;;;;;;;;;;;;;
